file_path,stain,width,height,channels
/N/project/wsiclass/Hancock_Dataset/TMA_TumorCenter_Cores/TMA_Cores/tma_tumorcenter_MHC1/TumorCenter_MHC1_block4_x4_y7_patient447.png,tma_tumorcenter_MHC1,4112,4112,3
/N/project/wsiclass/Hancock_Dataset/TMA_TumorCenter_Cores/TMA_Cores/tma_tumorcenter_MHC1/TumorCenter_MHC1_block18_x1_y10_patient010.png,tma_tumorcenter_MHC1,4112,4112,3
/N/project/wsiclass/Hancock_Dataset/TMA_TumorCenter_Cores/TMA_Cores/tma_tumorcenter_MHC1/TumorCenter_MHC1_block14_x1_y5_patient354.png,tma_tumorcenter_MHC1,4112,4112,3
/N/project/wsiclass/Hancock_Dataset/TMA_TumorCenter_Cores/TMA_Cores/tma_tumorcenter_MHC1/TumorCenter_MHC1_block7_x3_y8_patient028.png,tma_tumorcenter_MHC1,4112,4112,3
/N/project/wsiclass/Hancock_Dataset/TMA_TumorCenter_Cores/TMA_Cores/tma_tumorcenter_MHC1/TumorCenter_MHC1_block12_x4_y1_patient088.png,tma_tumorcenter_MHC1,4112,4112,3
/N/project/wsiclass/Hancock_Dataset/TMA_TumorCenter_Cores/TMA_Cores/tma_tumorcenter_MHC1/TumorCenter_MHC1_block19_x3_y3_patient108.png,tma_tumorcenter_MHC1,4112,4112,3
/N/project/wsiclass/Hancock_Dataset/TMA_TumorCenter_Cores/TMA_Cores/tma_tumorcenter_MHC1/TumorCenter_MHC1_block9_x2_y5_patient023.png,tma_tumorcenter_MHC1,4112,4112,3
/N/project/wsiclass/Hancock_Dataset/TMA_TumorCenter_Cores/TMA_Cores/tma_tumorcenter_MHC1/TumorCenter_MHC1_block6_x4_y6_patient288.png,tma_tumorcenter_MHC1,4112,4112,3
/N/project/wsiclass/Hancock_Dataset/TMA_TumorCenter_Cores/TMA_Cores/tma_tumorcenter_MHC1/TumorCenter_MHC1_block13_x1_y7_patient273.png,tma_tumorcenter_MHC1,4112,4112,3
/N/project/wsiclass/Hancock_Dataset/TMA_TumorCenter_Cores/TMA_Cores/tma_tumorcenter_MHC1/TumorCenter_MHC1_block2_x3_y1_patient172.png,tma_tumorcenter_MHC1,4112,4112,3
/N/project/wsiclass/Hancock_Dataset/TMA_TumorCenter_Cores/TMA_Cores/tma_tumorcenter_MHC1/TumorCenter_MHC1_block10_x6_y10_patient633.png,tma_tumorcenter_MHC1,4112,4112,3
/N/project/wsiclass/Hancock_Dataset/TMA_TumorCenter_Cores/TMA_Cores/tma_tumorcenter_MHC1/TumorCenter_MHC1_block11_x4_y4_patient433.png,tma_tumorcenter_MHC1,4112,4112,3
/N/project/wsiclass/Hancock_Dataset/TMA_TumorCenter_Cores/TMA_Cores/tma_tumorcenter_MHC1/TumorCenter_MHC1_block2_x4_y4_patient114.png,tma_tumorcenter_MHC1,4112,4112,3
/N/project/wsiclass/Hancock_Dataset/TMA_TumorCenter_Cores/TMA_Cores/tma_tumorcenter_MHC1/TumorCenter_MHC1_block8_x4_y6_patient106.png,tma_tumorcenter_MHC1,4112,4112,3
/N/project/wsiclass/Hancock_Dataset/TMA_TumorCenter_Cores/TMA_Cores/tma_tumorcenter_MHC1/TumorCenter_MHC1_block3_x6_y1_patient736.png,tma_tumorcenter_MHC1,4112,4112,3
/N/project/wsiclass/Hancock_Dataset/TMA_TumorCenter_Cores/TMA_Cores/tma_tumorcenter_MHC1/TumorCenter_MHC1_block10_x6_y3_patient753.png,tma_tumorcenter_MHC1,4112,4112,3
/N/project/wsiclass/Hancock_Dataset/TMA_TumorCenter_Cores/TMA_Cores/tma_tumorcenter_MHC1/TumorCenter_MHC1_block20_x4_y3_patient282.png,tma_tumorcenter_MHC1,4112,4112,3
/N/project/wsiclass/Hancock_Dataset/TMA_TumorCenter_Cores/TMA_Cores/tma_tumorcenter_MHC1/TumorCenter_MHC1_block18_x2_y12_patient161.png,tma_tumorcenter_MHC1,4112,4112,3
/N/project/wsiclass/Hancock_Dataset/TMA_TumorCenter_Cores/TMA_Cores/tma_tumorcenter_MHC1/TumorCenter_MHC1_block9_x2_y9_patient358.png,tma_tumorcenter_MHC1,4112,4112,3
/N/project/wsiclass/Hancock_Dataset/TMA_TumorCenter_Cores/TMA_Cores/tma_tumorcenter_MHC1/TumorCenter_MHC1_block15_x4_y12_patient486.png,tma_tumorcenter_MHC1,4112,4112,3
/N/project/wsiclass/Hancock_Dataset/TMA_TumorCenter_Cores/TMA_Cores/tma_tumorcenter_MHC1/TumorCenter_MHC1_block13_x6_y7_patient066.png,tma_tumorcenter_MHC1,4112,4112,3
/N/project/wsiclass/Hancock_Dataset/TMA_TumorCenter_Cores/TMA_Cores/tma_tumorcenter_MHC1/TumorCenter_MHC1_block21_x1_y5_patient532.png,tma_tumorcenter_MHC1,4112,4112,3
/N/project/wsiclass/Hancock_Dataset/TMA_TumorCenter_Cores/TMA_Cores/tma_tumorcenter_MHC1/TumorCenter_MHC1_block22_x4_y5_patient302.png,tma_tumorcenter_MHC1,4112,4112,3
/N/project/wsiclass/Hancock_Dataset/TMA_TumorCenter_Cores/TMA_Cores/tma_tumorcenter_MHC1/TumorCenter_MHC1_block19_x2_y12_patient738.png,tma_tumorcenter_MHC1,4112,4112,3
/N/project/wsiclass/Hancock_Dataset/TMA_TumorCenter_Cores/TMA_Cores/tma_tumorcenter_MHC1/TumorCenter_MHC1_block11_x5_y10_patient410.png,tma_tumorcenter_MHC1,4112,4112,3
/N/project/wsiclass/Hancock_Dataset/TMA_TumorCenter_Cores/TMA_Cores/tma_tumorcenter_MHC1/TumorCenter_MHC1_block3_x3_y2_patient060.png,tma_tumorcenter_MHC1,4112,4112,3
/N/project/wsiclass/Hancock_Dataset/TMA_TumorCenter_Cores/TMA_Cores/tma_tumorcenter_MHC1/TumorCenter_MHC1_block22_x2_y6_patient189.png,tma_tumorcenter_MHC1,4112,4112,3
/N/project/wsiclass/Hancock_Dataset/TMA_TumorCenter_Cores/TMA_Cores/tma_tumorcenter_MHC1/TumorCenter_MHC1_block16_x3_y11_patient160.png,tma_tumorcenter_MHC1,4112,4112,3
