file_path,vendor,objective,mpp_x,mpp_y,level_count,level0_downsample,level0_tile_w,level0_tile_h,compression,level_dimensions_0,level_dimensions_1,level_dimensions_2,level_dimensions_3,level_dimensions_4,level_dimensions_5,level_dimensions_6,level_dimensions_7,level_dimensions_8,level_dimensions_9
/N/project/wsiclass/Hancock_Dataset/WSI_PrimaryTumor/WSI_PrimaryTumor_Hypopharynx/PrimaryTumor_HE_377.svs,aperio,82.443299999999994,0.121295,0.121295,3,1.0,,,,155648x126976,38912x31744,9728x7936,,,,,,,
/N/project/wsiclass/Hancock_Dataset/WSI_PrimaryTumor/WSI_PrimaryTumor_Hypopharynx/PrimaryTumor_HE_383.svs,aperio,82.443299999999994,0.121295,0.121295,3,1.0,,,,172032x188416,43008x47104,10752x11776,,,,,,,
/N/project/wsiclass/Hancock_Dataset/WSI_PrimaryTumor/WSI_PrimaryTumor_Hypopharynx/PrimaryTumor_HE_314.svs,aperio,82.443299999999994,0.121295,0.121295,3,1.0,,,,192512x217088,48128x54272,12032x13568,,,,,,,
/N/project/wsiclass/Hancock_Dataset/WSI_PrimaryTumor/WSI_PrimaryTumor_Hypopharynx/PrimaryTumor_HE_606.svs,aperio,82.443299999999994,0.121295,0.121295,3,1.0,,,,131072x262144,32768x65536,8192x16384,,,,,,,
/N/project/wsiclass/Hancock_Dataset/WSI_PrimaryTumor/WSI_PrimaryTumor_Hypopharynx/PrimaryTumor_HE_288.svs,aperio,82.443299999999994,0.121295,0.121295,3,1.0,,,,126976x208896,31744x52224,7936x13056,,,,,,,
/N/project/wsiclass/Hancock_Dataset/WSI_PrimaryTumor/WSI_PrimaryTumor_Hypopharynx/PrimaryTumor_HE_218.svs,aperio,82.443299999999994,0.121295,0.121295,3,1.0,,,,90112x188416,22528x47104,5632x11776,,,,,,,
/N/project/wsiclass/Hancock_Dataset/WSI_PrimaryTumor/WSI_PrimaryTumor_Hypopharynx/PrimaryTumor_HE_501.svs,aperio,41.221699999999998,0.242591,0.242591,3,1.0,,,,98304x126976,24576x31744,6144x7936,,,,,,,
/N/project/wsiclass/Hancock_Dataset/WSI_PrimaryTumor/WSI_PrimaryTumor_Hypopharynx/PrimaryTumor_HE_761.svs,aperio,82.443299999999994,0.121295,0.121295,3,1.0,,,,151552x278528,37888x69632,9472x17408,,,,,,,
/N/project/wsiclass/Hancock_Dataset/WSI_PrimaryTumor/WSI_PrimaryTumor_Hypopharynx/PrimaryTumor_HE_465.svs,aperio,82.443299999999994,0.121295,0.121295,3,1.0,,,,98304x184320,24576x46080,6144x11520,,,,,,,
/N/project/wsiclass/Hancock_Dataset/WSI_PrimaryTumor/WSI_PrimaryTumor_Hypopharynx/PrimaryTumor_HE_037.svs,aperio,82.443299999999994,0.121295,0.121295,3,1.0,,,,163840x327680,40960x81920,10240x20480,,,,,,,
/N/project/wsiclass/Hancock_Dataset/WSI_PrimaryTumor/WSI_PrimaryTumor_Hypopharynx/PrimaryTumor_HE_206.svs,aperio,82.443299999999994,0.121295,0.121295,3,1.0,,,,151552x229376,37888x57344,9472x14336,,,,,,,
/N/project/wsiclass/Hancock_Dataset/WSI_PrimaryTumor/WSI_PrimaryTumor_Hypopharynx/PrimaryTumor_HE_527.svs,aperio,82.443299999999994,0.121295,0.121295,3,1.0,,,,184320x249856,46080x62464,11520x15616,,,,,,,
/N/project/wsiclass/Hancock_Dataset/WSI_PrimaryTumor/WSI_PrimaryTumor_Hypopharynx/PrimaryTumor_HE_061.svs,aperio,82.443299999999994,0.121295,0.121295,3,1.0,,,,151552x159744,37888x39936,9472x9984,,,,,,,
